station,agency,fiscal_year,metric,avg_weekday_exits,rank,method_percentile,method_zscore,method_kmeans,method_jenks,core_votes,consensus
Richmond,BART,FY2025,avg_weekday_exits,2397,45,peripheral,peripheral,core,peripheral,1,peripheral
Colma,BART,FY2025,avg_weekday_exits,2300,46,peripheral,peripheral,core,peripheral,1,peripheral
Redwood City,Caltrain,FY2025,avg_mid_week_ridership_AMWR,2290,47,peripheral,peripheral,core,peripheral,1,peripheral
Mountain View,Caltrain,FY2025,avg_mid_week_ridership_AMWR,2270,48,peripheral,peripheral,core,peripheral,1,peripheral
El Cerrito Plaza,BART,FY2025,avg_weekday_exits,2100,49,peripheral,peripheral,core,peripheral,1,peripheral
South Hayward,BART,FY2025,avg_weekday_exits,2000,50,peripheral,peripheral,core,peripheral,1,peripheral
Oakland Airport,BART,FY2025,avg_weekday_exits,2000,51,peripheral,peripheral,core,peripheral,1,peripheral
Sunnyvale,Caltrain,FY2025,avg_mid_week_ridership_AMWR,1930,52,peripheral,peripheral,core,peripheral,1,peripheral
Ashby,BART,FY2025,avg_weekday_exits,1806,53,peripheral,peripheral,core,peripheral,1,peripheral
North Berkeley,BART,FY2025,avg_weekday_exits,1800,54,peripheral,peripheral,core,peripheral,1,peripheral
San Mateo,Caltrain,FY2025,avg_mid_week_ridership_AMWR,1700,55,peripheral,peripheral,core,peripheral,1,peripheral
Hillsdale,Caltrain,FY2025,avg_mid_week_ridership_AMWR,1560,56,peripheral,peripheral,core,peripheral,1,peripheral
Menlo Park,Caltrain,FY2025,avg_mid_week_ridership_AMWR,1470,57,peripheral,peripheral,core,peripheral,1,peripheral
San Antonio,Caltrain,FY2025,avg_mid_week_ridership_AMWR,1460,58,peripheral,peripheral,core,peripheral,1,peripheral
North Concord/Martinez,BART,FY2025,avg_weekday_exits,1400,59,peripheral,peripheral,core,peripheral,1,peripheral
Santa Clara,Caltrain,FY2025,avg_mid_week_ridership_AMWR,1340,60,peripheral,peripheral,core,peripheral,1,peripheral
San Bruno,Caltrain,FY2025,avg_mid_week_ridership_AMWR,1230,61,peripheral,peripheral,core,peripheral,1,peripheral
Santa Clara,BART,FY2025,avg_weekday_exits,1200,62,peripheral,peripheral,core,peripheral,1,peripheral
San Carlos,Caltrain,FY2025,avg_mid_week_ridership_AMWR,1180,63,peripheral,peripheral,core,peripheral,1,peripheral
California Ave,Caltrain,FY2025,avg_mid_week_ridership_AMWR,1130,64,peripheral,peripheral,core,peripheral,1,peripheral
Antioch,BART,FY2025,avg_weekday_exits,1100,65,peripheral,peripheral,core,peripheral,1,peripheral
South San Francisco,Caltrain,FY2025,avg_mid_week_ridership_AMWR,1070,66,peripheral,peripheral,core,peripheral,1,peripheral
22nd Street,Caltrain,FY2025,avg_mid_week_ridership_AMWR,910,67,peripheral,peripheral,core,peripheral,1,peripheral
Pittsburg Center,BART,FY2025,avg_weekday_exits,900,68,peripheral,peripheral,core,peripheral,1,peripheral
Burlingame,Caltrain,FY2025,avg_mid_week_ridership_AMWR,870,69,peripheral,peripheral,core,peripheral,1,peripheral
Belmont,Caltrain,FY2025,avg_mid_week_ridership_AMWR,700,70,peripheral,peripheral,core,peripheral,1,peripheral
Lawrence,Caltrain,FY2025,avg_mid_week_ridership_AMWR,600,71,peripheral,peripheral,core,peripheral,1,peripheral
